CSDUID,CSD,Period,IndicatorSummaryDescription,UnitOfMeasure,OriginalValue
4805026,Drumheller,2000,Daily Vehicles (per km of road),,2440.67151
4805026,Drumheller,2001,Daily Vehicles (per km of road),,2328.48399
4805026,Drumheller,2002,Daily Vehicles (per km of road),,1482.75917
4805026,Drumheller,2003,Daily Vehicles (per km of road),,1473.37462
4805026,Drumheller,2004,Daily Vehicles (per km of road),,1547.28503
4805026,Drumheller,2005,Daily Vehicles (per km of road),,1585.12050
4805026,Drumheller,2006,Daily Vehicles (per km of road),,1608.28407
4805026,Drumheller,2007,Daily Vehicles (per km of road),,1587.60552
4805026,Drumheller,2008,Daily Vehicles (per km of road),,1606.84922
4805026,Drumheller,2009,Daily Vehicles (per km of road),,1443.32843
4805026,Drumheller,2010,Daily Vehicles (per km of road),,1395.11949
4805026,Drumheller,2011,Daily Vehicles (per km of road),,1375.87646
4805026,Drumheller,2012,Daily Vehicles (per km of road),,2024.16220
4805026,Drumheller,2013,Daily Vehicles (per km of road),,2281.10405
4805031,Starland County,2013,Daily Vehicles (per km of road),,831.23896
4805031,Starland County,2000,Daily Vehicles (per km of road),,1928.10140
4805031,Starland County,2001,Daily Vehicles (per km of road),,1895.61934
4805031,Starland County,2002,Daily Vehicles (per km of road),,824.02743
4805031,Starland County,2003,Daily Vehicles (per km of road),,821.27455
4805031,Starland County,2004,Daily Vehicles (per km of road),,826.00578
4805031,Starland County,2005,Daily Vehicles (per km of road),,875.43766
4805031,Starland County,2006,Daily Vehicles (per km of road),,911.12795
4805031,Starland County,2007,Daily Vehicles (per km of road),,924.96298
4805031,Starland County,2008,Daily Vehicles (per km of road),,886.46306
4805031,Starland County,2009,Daily Vehicles (per km of road),,866.53166
4805031,Starland County,2010,Daily Vehicles (per km of road),,825.48586
4805031,Starland County,2011,Daily Vehicles (per km of road),,859.88111
4805031,Starland County,2012,Daily Vehicles (per km of road),,893.56426
4805041,Kneehill County,2000,Daily Vehicles (per km of road),,1884.48461
4805041,Kneehill County,2001,Daily Vehicles (per km of road),,1872.32618
4805041,Kneehill County,2002,Daily Vehicles (per km of road),,999.23602
4805041,Kneehill County,2003,Daily Vehicles (per km of road),,1024.27256
4805041,Kneehill County,2004,Daily Vehicles (per km of road),,1059.84141
4805041,Kneehill County,2005,Daily Vehicles (per km of road),,1114.02022
4805041,Kneehill County,2006,Daily Vehicles (per km of road),,1152.79331
4805041,Kneehill County,2007,Daily Vehicles (per km of road),,1171.36983
4805041,Kneehill County,2008,Daily Vehicles (per km of road),,1204.04634
4805041,Kneehill County,2009,Daily Vehicles (per km of road),,1219.56370
4805041,Kneehill County,2010,Daily Vehicles (per km of road),,1223.42576
4805041,Kneehill County,2011,Daily Vehicles (per km of road),,1211.80009
4805041,Kneehill County,2012,Daily Vehicles (per km of road),,1220.47480
4805041,Kneehill County,2013,Daily Vehicles (per km of road),,1191.24518
4802001,Warner County No. 5,2013,Daily Vehicles (per km of road),,931.24845
4802001,Warner County No. 5,2000,Daily Vehicles (per km of road),,1327.62917
4802001,Warner County No. 5,2001,Daily Vehicles (per km of road),,1265.82477
4802001,Warner County No. 5,2002,Daily Vehicles (per km of road),,742.59008
4802001,Warner County No. 5,2003,Daily Vehicles (per km of road),,757.18970
4802001,Warner County No. 5,2004,Daily Vehicles (per km of road),,742.54691
4802001,Warner County No. 5,2005,Daily Vehicles (per km of road),,755.55828
4802001,Warner County No. 5,2006,Daily Vehicles (per km of road),,782.36528
4802001,Warner County No. 5,2007,Daily Vehicles (per km of road),,849.38137
4802001,Warner County No. 5,2008,Daily Vehicles (per km of road),,861.82527
4802001,Warner County No. 5,2009,Daily Vehicles (per km of road),,797.56847
4802001,Warner County No. 5,2010,Daily Vehicles (per km of road),,871.19228
4802001,Warner County No. 5,2011,Daily Vehicles (per km of road),,897.75717
4802001,Warner County No. 5,2012,Daily Vehicles (per km of road),,931.33635
4807049,Wainwright No. 61,2000,Daily Vehicles (per km of road),,1300.06075
4807049,Wainwright No. 61,2001,Daily Vehicles (per km of road),,1362.63904
4807049,Wainwright No. 61,2002,Daily Vehicles (per km of road),,884.27638
4807049,Wainwright No. 61,2003,Daily Vehicles (per km of road),,900.65187
4807049,Wainwright No. 61,2004,Daily Vehicles (per km of road),,918.44415
4807049,Wainwright No. 61,2005,Daily Vehicles (per km of road),,924.00784
4807049,Wainwright No. 61,2006,Daily Vehicles (per km of road),,940.38166
4807049,Wainwright No. 61,2007,Daily Vehicles (per km of road),,1027.28513
4807049,Wainwright No. 61,2008,Daily Vehicles (per km of road),,1065.72824
4807049,Wainwright No. 61,2009,Daily Vehicles (per km of road),,1023.72293
4807049,Wainwright No. 61,2010,Daily Vehicles (per km of road),,1047.92778
4807049,Wainwright No. 61,2011,Daily Vehicles (per km of road),,1044.24395
4807049,Wainwright No. 61,2012,Daily Vehicles (per km of road),,1075.92445
4807049,Wainwright No. 61,2013,Daily Vehicles (per km of road),,1104.33752
4808001,Red Deer County,2013,Daily Vehicles (per km of road),,5902.04126
4808001,Red Deer County,2000,Daily Vehicles (per km of road),,7849.14860
4808001,Red Deer County,2001,Daily Vehicles (per km of road),,8081.34224
4808001,Red Deer County,2002,Daily Vehicles (per km of road),,4294.46898
4808001,Red Deer County,2003,Daily Vehicles (per km of road),,4359.39568
4808001,Red Deer County,2004,Daily Vehicles (per km of road),,4477.10369
4808001,Red Deer County,2005,Daily Vehicles (per km of road),,4717.26461
4808001,Red Deer County,2006,Daily Vehicles (per km of road),,5067.22379
4808001,Red Deer County,2007,Daily Vehicles (per km of road),,5196.02405
4808001,Red Deer County,2008,Daily Vehicles (per km of road),,5330.07300
4808001,Red Deer County,2009,Daily Vehicles (per km of road),,5250.29632
4808001,Red Deer County,2010,Daily Vehicles (per km of road),,5329.53613
4808001,Red Deer County,2011,Daily Vehicles (per km of road),,5411.81985
4808001,Red Deer County,2012,Daily Vehicles (per km of road),,5759.88281
4805012,Wheatland County,2000,Daily Vehicles (per km of road),,3819.11341
4805012,Wheatland County,2001,Daily Vehicles (per km of road),,3885.82846
4805012,Wheatland County,2002,Daily Vehicles (per km of road),,1989.23460
4805012,Wheatland County,2003,Daily Vehicles (per km of road),,2091.20945
4805012,Wheatland County,2004,Daily Vehicles (per km of road),,2201.63114
4805012,Wheatland County,2005,Daily Vehicles (per km of road),,2350.57618
4805012,Wheatland County,2006,Daily Vehicles (per km of road),,2437.57225
4805012,Wheatland County,2007,Daily Vehicles (per km of road),,2466.75897
4805012,Wheatland County,2008,Daily Vehicles (per km of road),,2445.49366
4805012,Wheatland County,2009,Daily Vehicles (per km of road),,2387.50080
4805012,Wheatland County,2010,Daily Vehicles (per km of road),,2401.99686
4805012,Wheatland County,2011,Daily Vehicles (per km of road),,2453.95741
4805012,Wheatland County,2012,Daily Vehicles (per km of road),,2531.11493
4805012,Wheatland County,2013,Daily Vehicles (per km of road),,2470.76841
4807019,Stettler County No. 6,2013,Daily Vehicles (per km of road),,1002.32321
4807019,Stettler County No. 6,2000,Daily Vehicles (per km of road),,1757.85845
4807019,Stettler County No. 6,2001,Daily Vehicles (per km of road),,1724.81679
4807019,Stettler County No. 6,2002,Daily Vehicles (per km of road),,796.02487
4807019,Stettler County No. 6,2003,Daily Vehicles (per km of road),,816.63785
4807019,Stettler County No. 6,2004,Daily Vehicles (per km of road),,854.81736
4807019,Stettler County No. 6,2005,Daily Vehicles (per km of road),,921.58886
4807019,Stettler County No. 6,2006,Daily Vehicles (per km of road),,1003.51138
4807019,Stettler County No. 6,2007,Daily Vehicles (per km of road),,990.02415
4807019,Stettler County No. 6,2008,Daily Vehicles (per km of road),,955.95471
4807019,Stettler County No. 6,2009,Daily Vehicles (per km of road),,932.82961
4807019,Stettler County No. 6,2010,Daily Vehicles (per km of road),,923.70211
4807019,Stettler County No. 6,2011,Daily Vehicles (per km of road),,960.21208
4807019,Stettler County No. 6,2012,Daily Vehicles (per km of road),,1009.62611
4808022,Lacombe County,2000,Daily Vehicles (per km of road),,4123.81393
4808022,Lacombe County,2001,Daily Vehicles (per km of road),,4216.72923
4808022,Lacombe County,2002,Daily Vehicles (per km of road),,3052.50249
4808022,Lacombe County,2003,Daily Vehicles (per km of road),,3126.79041
4808022,Lacombe County,2004,Daily Vehicles (per km of road),,3187.54753
4808022,Lacombe County,2005,Daily Vehicles (per km of road),,3298.53441
4808022,Lacombe County,2006,Daily Vehicles (per km of road),,3514.10754
4808022,Lacombe County,2007,Daily Vehicles (per km of road),,3629.24144
4808022,Lacombe County,2008,Daily Vehicles (per km of road),,3668.69726
4808022,Lacombe County,2009,Daily Vehicles (per km of road),,3620.71192
4808022,Lacombe County,2010,Daily Vehicles (per km of road),,3699.18290
4808022,Lacombe County,2011,Daily Vehicles (per km of road),,3814.70661
4808022,Lacombe County,2012,Daily Vehicles (per km of road),,3974.63564
4808022,Lacombe County,2013,Daily Vehicles (per km of road),,3960.21573
4807031,Flagstaff County,2013,Daily Vehicles (per km of road),,897.31467
4807031,Flagstaff County,2000,Daily Vehicles (per km of road),,1220.52050
4807031,Flagstaff County,2001,Daily Vehicles (per km of road),,1271.66025
4807031,Flagstaff County,2002,Daily Vehicles (per km of road),,760.26365
4807031,Flagstaff County,2003,Daily Vehicles (per km of road),,763.48510
4807031,Flagstaff County,2004,Daily Vehicles (per km of road),,774.52913
4807031,Flagstaff County,2005,Daily Vehicles (per km of road),,807.37601
4807031,Flagstaff County,2006,Daily Vehicles (per km of road),,835.08572
4807031,Flagstaff County,2007,Daily Vehicles (per km of road),,861.51256
4807031,Flagstaff County,2008,Daily Vehicles (per km of road),,900.20325
4807031,Flagstaff County,2009,Daily Vehicles (per km of road),,885.37182
4807031,Flagstaff County,2010,Daily Vehicles (per km of road),,868.60586
4807031,Flagstaff County,2011,Daily Vehicles (per km of road),,870.54039
4807031,Flagstaff County,2012,Daily Vehicles (per km of road),,908.65246
4807011,Paintearth County No. 18,2000,Daily Vehicles (per km of road),,1051.06513
4807011,Paintearth County No. 18,2001,Daily Vehicles (per km of road),,1087.49292
4807011,Paintearth County No. 18,2002,Daily Vehicles (per km of road),,748.28819
4807011,Paintearth County No. 18,2003,Daily Vehicles (per km of road),,778.41408
4807011,Paintearth County No. 18,2004,Daily Vehicles (per km of road),,733.52122
4807011,Paintearth County No. 18,2005,Daily Vehicles (per km of road),,724.73870
4807011,Paintearth County No. 18,2006,Daily Vehicles (per km of road),,734.47974
4807011,Paintearth County No. 18,2007,Daily Vehicles (per km of road),,705.41877
4807011,Paintearth County No. 18,2008,Daily Vehicles (per km of road),,710.08337
4807011,Paintearth County No. 18,2009,Daily Vehicles (per km of road),,685.98818
4807011,Paintearth County No. 18,2010,Daily Vehicles (per km of road),,709.30789
4807011,Paintearth County No. 18,2011,Daily Vehicles (per km of road),,727.76933
4807011,Paintearth County No. 18,2012,Daily Vehicles (per km of road),,747.74553
4807011,Paintearth County No. 18,2013,Daily Vehicles (per km of road),,740.67861
4810001,Camrose County,2013,Daily Vehicles (per km of road),,1789.59066
4810001,Camrose County,2000,Daily Vehicles (per km of road),,2207.19280
4810001,Camrose County,2001,Daily Vehicles (per km of road),,2278.20129
4810001,Camrose County,2002,Daily Vehicles (per km of road),,1551.21372
4810001,Camrose County,2003,Daily Vehicles (per km of road),,1581.93082
4810001,Camrose County,2004,Daily Vehicles (per km of road),,1601.34464
4810001,Camrose County,2005,Daily Vehicles (per km of road),,1639.70871
4810001,Camrose County,2006,Daily Vehicles (per km of road),,1737.03930
4810001,Camrose County,2007,Daily Vehicles (per km of road),,1797.30573
4810001,Camrose County,2008,Daily Vehicles (per km of road),,1791.16493
4810001,Camrose County,2009,Daily Vehicles (per km of road),,1734.93164
4810001,Camrose County,2010,Daily Vehicles (per km of road),,1740.52218
4810001,Camrose County,2011,Daily Vehicles (per km of road),,1749.21858
4810001,Camrose County,2012,Daily Vehicles (per km of road),,1777.78843
4802012,Lethbridge,2000,Daily Vehicles (per km of road),,14857.32698
4802012,Lethbridge,2001,Daily Vehicles (per km of road),,15481.06509
4802012,Lethbridge,2002,Daily Vehicles (per km of road),,16246.30098
4802012,Lethbridge,2003,Daily Vehicles (per km of road),,16520.66553
4802012,Lethbridge,2004,Daily Vehicles (per km of road),,16567.43260
4802012,Lethbridge,2005,Daily Vehicles (per km of road),,17280.74319
4802012,Lethbridge,2006,Daily Vehicles (per km of road),,17773.84986
4802012,Lethbridge,2007,Daily Vehicles (per km of road),,18813.40072
4802012,Lethbridge,2008,Daily Vehicles (per km of road),,18948.15177
4802012,Lethbridge,2009,Daily Vehicles (per km of road),,18810.70404
4802012,Lethbridge,2010,Daily Vehicles (per km of road),,19203.41185
4802012,Lethbridge,2011,Daily Vehicles (per km of road),,19002.97216
4802012,Lethbridge,2012,Daily Vehicles (per km of road),,19434.85789
4802012,Lethbridge,2013,Daily Vehicles (per km of road),,19533.01374
4803001,Cardston County,2013,Daily Vehicles (per km of road),,1017.49305
4803001,Cardston County,2000,Daily Vehicles (per km of road),,1632.47022
4803001,Cardston County,2001,Daily Vehicles (per km of road),,1637.16285
4803001,Cardston County,2002,Daily Vehicles (per km of road),,926.77424
4803001,Cardston County,2003,Daily Vehicles (per km of road),,952.68844
4803001,Cardston County,2004,Daily Vehicles (per km of road),,948.27199
4803001,Cardston County,2005,Daily Vehicles (per km of road),,931.13958
4803001,Cardston County,2006,Daily Vehicles (per km of road),,948.15569
4803001,Cardston County,2007,Daily Vehicles (per km of road),,967.96179
4803001,Cardston County,2008,Daily Vehicles (per km of road),,964.46738
4803001,Cardston County,2009,Daily Vehicles (per km of road),,967.97942
4803001,Cardston County,2010,Daily Vehicles (per km of road),,989.43643
4803001,Cardston County,2011,Daily Vehicles (per km of road),,1003.41095
4803001,Cardston County,2012,Daily Vehicles (per km of road),,1015.49698
4803003,Improvement District No.  4 Waterton,2001,Daily Vehicles (per km of road),,429.13270
4802031,Newell County,2013,Daily Vehicles (per km of road),,1933.21166
4802031,Newell County,2000,Daily Vehicles (per km of road),,4377.11364
4802031,Newell County,2001,Daily Vehicles (per km of road),,4403.32916
4802031,Newell County,2002,Daily Vehicles (per km of road),,1861.92047
4802031,Newell County,2003,Daily Vehicles (per km of road),,1916.33892
4802031,Newell County,2004,Daily Vehicles (per km of road),,2068.03380
4802031,Newell County,2005,Daily Vehicles (per km of road),,2197.70764
4802031,Newell County,2006,Daily Vehicles (per km of road),,2211.58828
4802031,Newell County,2007,Daily Vehicles (per km of road),,1974.24612
4802031,Newell County,2008,Daily Vehicles (per km of road),,1931.85750
4802031,Newell County,2009,Daily Vehicles (per km of road),,1863.03299
4802031,Newell County,2010,Daily Vehicles (per km of road),,1869.59121
4802031,Newell County,2011,Daily Vehicles (per km of road),,1879.97271
4802031,Newell County,2012,Daily Vehicles (per km of road),,1947.06428
4808038,Ponoka County,2000,Daily Vehicles (per km of road),,4407.13463
4808038,Ponoka County,2001,Daily Vehicles (per km of road),,4449.74562
4808038,Ponoka County,2002,Daily Vehicles (per km of road),,2374.93478
4808038,Ponoka County,2003,Daily Vehicles (per km of road),,2421.73776
4808038,Ponoka County,2004,Daily Vehicles (per km of road),,2490.18277
4808038,Ponoka County,2005,Daily Vehicles (per km of road),,2596.40210
4808038,Ponoka County,2006,Daily Vehicles (per km of road),,2744.15412
4808038,Ponoka County,2007,Daily Vehicles (per km of road),,2811.84722
4808038,Ponoka County,2008,Daily Vehicles (per km of road),,2840.31362
4808038,Ponoka County,2009,Daily Vehicles (per km of road),,2768.39051
4808038,Ponoka County,2010,Daily Vehicles (per km of road),,2853.82197
4808038,Ponoka County,2011,Daily Vehicles (per km of road),,2935.42526
4808038,Ponoka County,2012,Daily Vehicles (per km of road),,3016.10645
4808038,Ponoka County,2013,Daily Vehicles (per km of road),,3114.85711
4812037,Lac la Biche County,2013,Daily Vehicles (per km of road),,2638.55797
4812037,Lac la Biche County,2000,Daily Vehicles (per km of road),,1727.17633
4812037,Lac la Biche County,2001,Daily Vehicles (per km of road),,1937.53070
4812037,Lac la Biche County,2002,Daily Vehicles (per km of road),,1354.50803
4812037,Lac la Biche County,2003,Daily Vehicles (per km of road),,1419.56445
4812037,Lac la Biche County,2004,Daily Vehicles (per km of road),,1454.63469
4812037,Lac la Biche County,2005,Daily Vehicles (per km of road),,1136.60141
4812037,Lac la Biche County,2006,Daily Vehicles (per km of road),,1362.69434
4812037,Lac la Biche County,2007,Daily Vehicles (per km of road),,2133.63388
4812037,Lac la Biche County,2008,Daily Vehicles (per km of road),,2237.15688
4812037,Lac la Biche County,2009,Daily Vehicles (per km of road),,1951.68230
4812037,Lac la Biche County,2010,Daily Vehicles (per km of road),,2060.68248
4812037,Lac la Biche County,2011,Daily Vehicles (per km of road),,2280.66659
4812037,Lac la Biche County,2012,Daily Vehicles (per km of road),,2674.17961
4809002,Clearwater County,2000,Daily Vehicles (per km of road),,1652.91170
4809002,Clearwater County,2001,Daily Vehicles (per km of road),,1739.02075
4809002,Clearwater County,2002,Daily Vehicles (per km of road),,1063.31562
4809002,Clearwater County,2003,Daily Vehicles (per km of road),,1082.11754
4809002,Clearwater County,2004,Daily Vehicles (per km of road),,1098.36819
4809002,Clearwater County,2005,Daily Vehicles (per km of road),,1188.45472
4809002,Clearwater County,2006,Daily Vehicles (per km of road),,1253.98697
4809002,Clearwater County,2007,Daily Vehicles (per km of road),,1177.89521
4809002,Clearwater County,2008,Daily Vehicles (per km of road),,1141.78162
4809002,Clearwater County,2009,Daily Vehicles (per km of road),,1076.04562
4809002,Clearwater County,2010,Daily Vehicles (per km of road),,1090.75968
4809002,Clearwater County,2011,Daily Vehicles (per km of road),,1146.93262
4809002,Clearwater County,2012,Daily Vehicles (per km of road),,1203.84236
4809002,Clearwater County,2013,Daily Vehicles (per km of road),,1226.97851
4810026,Minburn County No. 27,2013,Daily Vehicles (per km of road),,2862.57675
4810026,Minburn County No. 27,2000,Daily Vehicles (per km of road),,4285.15147
4810026,Minburn County No. 27,2001,Daily Vehicles (per km of road),,4398.84127
4810026,Minburn County No. 27,2002,Daily Vehicles (per km of road),,2109.41475
4810026,Minburn County No. 27,2003,Daily Vehicles (per km of road),,2142.98394
4810026,Minburn County No. 27,2004,Daily Vehicles (per km of road),,2260.19234
4810026,Minburn County No. 27,2005,Daily Vehicles (per km of road),,2301.14430
4810026,Minburn County No. 27,2006,Daily Vehicles (per km of road),,2355.79510
4810026,Minburn County No. 27,2007,Daily Vehicles (per km of road),,2514.22781
4810026,Minburn County No. 27,2008,Daily Vehicles (per km of road),,2526.01950
4810026,Minburn County No. 27,2009,Daily Vehicles (per km of road),,2555.12740
4810026,Minburn County No. 27,2010,Daily Vehicles (per km of road),,2647.02556
4810026,Minburn County No. 27,2011,Daily Vehicles (per km of road),,2732.53085
4810026,Minburn County No. 27,2012,Daily Vehicles (per km of road),,2844.25040
4813028,Westlock County,2000,Daily Vehicles (per km of road),,2679.20979
4813028,Westlock County,2001,Daily Vehicles (per km of road),,2711.86766
4813028,Westlock County,2002,Daily Vehicles (per km of road),,1630.10400
4813028,Westlock County,2003,Daily Vehicles (per km of road),,1622.18740
4813028,Westlock County,2004,Daily Vehicles (per km of road),,1640.94031
4813028,Westlock County,2005,Daily Vehicles (per km of road),,1699.89969
4813028,Westlock County,2006,Daily Vehicles (per km of road),,1787.67680
4813028,Westlock County,2007,Daily Vehicles (per km of road),,1854.55686
4813028,Westlock County,2008,Daily Vehicles (per km of road),,1875.20107
4813028,Westlock County,2009,Daily Vehicles (per km of road),,1826.67488
4813028,Westlock County,2010,Daily Vehicles (per km of road),,1894.27060
4813028,Westlock County,2011,Daily Vehicles (per km of road),,1919.71839
4813028,Westlock County,2012,Daily Vehicles (per km of road),,1971.75234
4813028,Westlock County,2013,Daily Vehicles (per km of road),,1911.33877
4813029,Woodlands County,2013,Daily Vehicles (per km of road),,2606.25213
4813029,Woodlands County,2000,Daily Vehicles (per km of road),,2879.41477
4813029,Woodlands County,2001,Daily Vehicles (per km of road),,2868.97094
4813029,Woodlands County,2002,Daily Vehicles (per km of road),,1662.95965
4813029,Woodlands County,2003,Daily Vehicles (per km of road),,1835.70556
4813029,Woodlands County,2004,Daily Vehicles (per km of road),,1929.58336
4813029,Woodlands County,2005,Daily Vehicles (per km of road),,2167.50477
4813029,Woodlands County,2006,Daily Vehicles (per km of road),,2363.77763
4813029,Woodlands County,2007,Daily Vehicles (per km of road),,2313.85695
4813029,Woodlands County,2008,Daily Vehicles (per km of road),,2396.34411
4813029,Woodlands County,2009,Daily Vehicles (per km of road),,2235.77060
4813029,Woodlands County,2010,Daily Vehicles (per km of road),,2388.15453
4813029,Woodlands County,2011,Daily Vehicles (per km of road),,2491.67276
4813029,Woodlands County,2012,Daily Vehicles (per km of road),,2743.22641
4813018,Barrhead County No. 11,2000,Daily Vehicles (per km of road),,1751.28724
4813018,Barrhead County No. 11,2001,Daily Vehicles (per km of road),,1764.35548
4813018,Barrhead County No. 11,2002,Daily Vehicles (per km of road),,946.20233
4813018,Barrhead County No. 11,2003,Daily Vehicles (per km of road),,955.60792
4813018,Barrhead County No. 11,2004,Daily Vehicles (per km of road),,971.53072
4813018,Barrhead County No. 11,2005,Daily Vehicles (per km of road),,994.46786
4813018,Barrhead County No. 11,2006,Daily Vehicles (per km of road),,1061.34039
4813018,Barrhead County No. 11,2007,Daily Vehicles (per km of road),,1075.11058
4813018,Barrhead County No. 11,2008,Daily Vehicles (per km of road),,1079.81360
4813018,Barrhead County No. 11,2009,Daily Vehicles (per km of road),,1059.12031
4813018,Barrhead County No. 11,2010,Daily Vehicles (per km of road),,1058.17608
4813018,Barrhead County No. 11,2011,Daily Vehicles (per km of road),,1057.22822
4813018,Barrhead County No. 11,2012,Daily Vehicles (per km of road),,1082.14129
4813018,Barrhead County No. 11,2013,Daily Vehicles (per km of road),,1070.85920
4810016,Beaver County,2013,Daily Vehicles (per km of road),,992.72593
4810016,Beaver County,2000,Daily Vehicles (per km of road),,1577.15717
4810016,Beaver County,2001,Daily Vehicles (per km of road),,1654.52240
4810016,Beaver County,2002,Daily Vehicles (per km of road),,884.77357
4810016,Beaver County,2003,Daily Vehicles (per km of road),,857.00041
4810016,Beaver County,2004,Daily Vehicles (per km of road),,885.50560
4810016,Beaver County,2005,Daily Vehicles (per km of road),,892.92140
4810016,Beaver County,2006,Daily Vehicles (per km of road),,914.71119
4810016,Beaver County,2007,Daily Vehicles (per km of road),,968.50815
4810016,Beaver County,2008,Daily Vehicles (per km of road),,999.17017
4810016,Beaver County,2009,Daily Vehicles (per km of road),,974.73020
4810016,Beaver County,2010,Daily Vehicles (per km of road),,991.65586
4810016,Beaver County,2011,Daily Vehicles (per km of road),,972.28477
4810016,Beaver County,2012,Daily Vehicles (per km of road),,984.17823
4801006,Medicine Hat,2000,Daily Vehicles (per km of road),,18506.97250
4801006,Medicine Hat,2001,Daily Vehicles (per km of road),,13587.32361
4801006,Medicine Hat,2002,Daily Vehicles (per km of road),,14014.16198
4801006,Medicine Hat,2003,Daily Vehicles (per km of road),,14525.83524
4801006,Medicine Hat,2004,Daily Vehicles (per km of road),,14869.36253
4801006,Medicine Hat,2005,Daily Vehicles (per km of road),,15220.70015
4801006,Medicine Hat,2006,Daily Vehicles (per km of road),,15489.07129
4801006,Medicine Hat,2007,Daily Vehicles (per km of road),,20024.84716
4801006,Medicine Hat,2008,Daily Vehicles (per km of road),,20699.15324
4801006,Medicine Hat,2009,Daily Vehicles (per km of road),,20188.31530
4801006,Medicine Hat,2010,Daily Vehicles (per km of road),,15448.52691
4801006,Medicine Hat,2011,Daily Vehicles (per km of road),,15336.17399
4801006,Medicine Hat,2012,Daily Vehicles (per km of road),,16277.12972
4801006,Medicine Hat,2013,Daily Vehicles (per km of road),,16642.27672
4801008,Forty Mile County No. 8,2013,Daily Vehicles (per km of road),,517.90043
4801008,Forty Mile County No. 8,2000,Daily Vehicles (per km of road),,1170.27360
4801008,Forty Mile County No. 8,2001,Daily Vehicles (per km of road),,1150.44565
4801008,Forty Mile County No. 8,2002,Daily Vehicles (per km of road),,449.60388
4801008,Forty Mile County No. 8,2003,Daily Vehicles (per km of road),,475.73098
4801008,Forty Mile County No. 8,2004,Daily Vehicles (per km of road),,483.68924
4801008,Forty Mile County No. 8,2005,Daily Vehicles (per km of road),,500.02563
4801008,Forty Mile County No. 8,2006,Daily Vehicles (per km of road),,503.86267
4801008,Forty Mile County No. 8,2007,Daily Vehicles (per km of road),,515.32436
4801008,Forty Mile County No. 8,2008,Daily Vehicles (per km of road),,495.90319
4801008,Forty Mile County No. 8,2009,Daily Vehicles (per km of road),,493.18036
4801008,Forty Mile County No. 8,2010,Daily Vehicles (per km of road),,494.41324
4801008,Forty Mile County No. 8,2011,Daily Vehicles (per km of road),,508.05599
4801008,Forty Mile County No. 8,2012,Daily Vehicles (per km of road),,516.80897
4801003,Cypress County,2000,Daily Vehicles (per km of road),,2546.18042
4801003,Cypress County,2001,Daily Vehicles (per km of road),,2614.58087
4801003,Cypress County,2002,Daily Vehicles (per km of road),,1574.29065
4801003,Cypress County,2003,Daily Vehicles (per km of road),,1625.64416
4801003,Cypress County,2004,Daily Vehicles (per km of road),,1671.01774
